S.no,Name,Party,Committees,NA
156,Mr. Faqir Sher Muhammad Bilaiani,PPPP,"[Housing and Works,National Food Security and Research]",NA-229
157,Iqbal Muhammad Ali Khan,MQM,"[Housing and Works,Inter-Provincial Coordination,Statistics]",NA-256
158,Engineer Mohammad Usman Badaini,IND,"[Housing and Works,Inter-Provincial Coordination,Privatization,Statistics]",NA-260
159,Mr. Babar Nawaz Khan (Chairman),PML(N),[Human Rights],NA-19
160,Sahibzada Muhammad Yaqub,JI,"[Human Rights,Religious Affairs and Inter-faith Harmony,Statistics,Water Resources]",NA-34
161,Mr. Kanwar Naveed,MQM,"[Human Rights,Interior,Maritime Affairs]",NA-246
162,Sayed Essa Nori,BNP,"[Human Rights,National Food Security and Research,Parliamentary Affairs]",NA-272
163,Kiran Haider,PML(N),"[Human Rights,Law and Justice]",(Women)
164,Mrs. Aliya Kamran,JUI-F,"[Human Rights,Overseas Pakistanis and Human Resource Development,Science and Technology]",(Women)
165,Mrs. Musarat Rafique Mahesar,PPPP,"[Human Rights,Overseas Pakistanis and Human Resource Development,Science and Technology]",(Women)
166,Begum Tahira Bukhari,PML(N),"[Human Rights,Inter-Provincial Coordination,States and Frontier Regions]",(Women)
167,Zahra Wadood Fatemi,PML(N),"[Human Rights,Information Technology and Telecommunication,National Health Services, Regulations and Coordination]",(Women)
168,Munaza Hassan,PTI,"[Human Rights,Privatization]",(Women)
169,Mr. Asad Umar (Chairman),PTI,[Industries and Production],NA-48
170,Maulana Muhammad Gohar Shah,JUI-F,"[Industries and Production,Water Resources]",NA-7
171,Mr Iftikhar ud Din,APML,"[Industries and Production,Planning and Development]",NA-32
172,Qaiser Ahmad Sheikh,PML(N),[Industries and Production],NA-86
173,Chaudhry Riaz-ul-Haq,PML(N),"[Industries and Production,Narcotics Control]",NA-144
174,Syed Imran Ahmad Shah,PML(N),"[Industries and Production,Law and Justice,Privatization,Religious Affairs and Inter-faith Harmony]",NA-160
175,Syed Muhammad Asghar,PML(N),"[Industries and Production,Kashmir Affairs and Gilgit-Baltistan,Statistics]",NA-188
176,Sardar Kamal Khan Chang,PPPP,"[Industries and Production,Information Technology and Telecommunication]",NA-224
177,Pir Noor Muhammad Shah Jeelani,PPPP,[Industries and Production],NA-230
178,Zafarullah Khan Jamali,PML(N),"[Industries and Production,Planning and Development]",NA-266
179,Capt (R) Muhammad Safdar (Chairman),PML(N),[Information Technology and Telecommunication],NA-21
180,Engineer Dawar Khan Kundi,PTI,[Information Technology and Telecommunication],NA-25
181,Major Rtd Tahir Iqbal,PML(N),"[Information Technology and Telecommunication,Kashmir Affairs and Gilgit-Baltistan,Narcotics Control]",NA-60
182,Mr Amjid Ali Khan,PTI,"[Information Technology and Telecommunication,Railways]",NA-72
183,Mian Muhammad Farooq,PML(N),"[Information Technology and Telecommunication,Information, Broadcasting, National History and Literary Heritage]",NA-80
184,Mehar Ishtiaq Ahmad,PML(N),"[Information Technology and Telecommunication,Maritime Affairs]",NA-121
185,Ms. Shazia Mubashar,PML(N),"[Information Technology and Telecommunication,Parliamentary Affairs,Science and Technology]",NA-129
186,Chaudhary Muhammad Tufail,PML(N),"[Information Technology and Telecommunication,Maritime Affairs,Water Resources]",NA-162
187,Nauman Islam Shaikh,PPPP,"[Information Technology and Telecommunication,Interior,Privatization]",NA-198
188,Shazia Sohail Mir,PML(N),"[Information Technology and Telecommunication,Planning and Development]",(Women)
189,Aslam Bodla (Chairman),PML(N),"[Information, Broadcasting, National History and Literary Heritage]",NA-158
190,Dr. Muhammad Azhar Khan Jadoon,PTI,"[Information, Broadcasting, National History and Literary Heritage,Narcotics Control,National Health Services, Regulations and Coordination]",NA-17
191,Ms Ghulam Bibi Bharwana,PML(N),"[Information, Broadcasting, National History and Literary Heritage,Narcotics Control,Science and Technology]",NA-88
192,Tahir Iqbal Ch,PML(N),"[Information, Broadcasting, National History and Literary Heritage,National Food Security and Research]",NA-169
193,Syed Amir Ali Shah Jamote,PPPP,"[Information, Broadcasting, National History and Literary Heritage,Religious Affairs and Inter-faith Harmony]",NA-221
194,Saman Sultana Jafri,MQM,"[Information, Broadcasting, National History and Literary Heritage,Parliamentary Affairs]",(Women)
195,Mrs. Belum Hasnain,PPPP,"[Information, Broadcasting, National History and Literary Heritage,Parliamentary Affairs]",(Women)
196,Mr. Abdul Qahar Khan Wadan (Chairman),PMAP,[Inter-Provincial Coordination],NA-262
197,Mr Siraj Muhammad Khan,PTI,[Inter-Provincial Coordination],NA-6
198,Mr Mujahid Ali,PTI,[Inter-Provincial Coordination],NA-11
199,Rana Muhammad Hayat Khan,PML(N),"[Inter-Provincial Coordination,Maritime Affairs]",NA-142
200,Chaudhary Nazeer Ahmad,PML(N),"[Inter-Provincial Coordination,National Food Security and Research,Religious Affairs and Inter-faith Harmony]",NA-167
201,Alam Dad Laleka,PML(N),"[Inter-Provincial Coordination,Railways]",NA-189
202,Mr. Aftab Shahban Mirani,PPPP,"[Inter-Provincial Coordination,Science and Technology,States and Frontier Regions]",NA-202
203,Syed Kazim Ali Shah,PML-F,"[Inter-Provincial Coordination,Water Resources]",NA-217
204,Khalid Hussain Magsi,PML(N),[Inter-Provincial Coordination],NA-267
205,Sabiha Nazir,PML(N),"[Inter-Provincial Coordination,Law and Justice,Overseas Pakistanis and Human Resource Development,Statistics]",(Women)
206,Rana Shamim Ahmed Khan (Chairman),PML(N),[Interior],NA-112
207,Mr Khial Zaman Orakzai,PTI,"[Interior,Overseas Pakistanis and Human Resource Development]",NA-16
208,Mr Sher Akbar Khan,JI,"[Interior,Narcotics Control,Planning and Development]",NA-28
209,Mian Shahid Hussain Khan Bhatti,PML(N),"[Interior,Narcotics Control,States and Frontier Regions]",NA-103
210,Syed Iftikhar Ul Hassan,PML(N),"[Interior,National Food Security and Research]",NA-113
211,Malik Abdul Ghaffar Dogar,PML(N),"[Interior,Kashmir Affairs and Gilgit-Baltistan,Religious Affairs and Inter-faith Harmony]",NA-148
212,Ehsan ur Rehman Mazari,PPPP,"[Interior,Planning and Development]",NA-210
213,Mohammad Salman Khan Baloch,MQM,"[Interior,National Food Security and Research]",NA-239
214,Dr. Arif Alvi,PTI,"[Interior,Law and Justice]",NA-250
215,Mir Dostain Khan Domki,PML(N),[Interior],NA-265
216,Malik Ibrar Ahmed (Chairman),PML(N),[Kashmir Affairs and Gilgit-Baltistan],NA-54
217,Mr Nasir Khan Khattak,PTI,"[Kashmir Affairs and Gilgit-Baltistan,Parliamentary Affairs]",NA-15
218,Mr. Babar Nawaz Khan,PML(N),[Kashmir Affairs and Gilgit-Baltistan],NA-19
219,Mr Junaid Akbar,PTI,"[Kashmir Affairs and Gilgit-Baltistan,Planning and Development,Water Resources]",NA-35
220,Sardar Mumtaz Khan,PML(N),"[Kashmir Affairs and Gilgit-Baltistan,Postal Services]",NA-61
221,Mr. Obaid Ullah Khan Shadi Khel,PML(N),[Kashmir Affairs and Gilgit-Baltistan],NA-71
222,Ch. Abid Raza,PML(N),"[Kashmir Affairs and Gilgit-Baltistan,Overseas Pakistanis and Human Resource Development]",NA-107
223,Sohail Shoukat Butt,PML(N),"[Kashmir Affairs and Gilgit-Baltistan,Maritime Affairs]",NA-130
224,Mian Imtiaz Ahmad,PML(N),"[Kashmir Affairs and Gilgit-Baltistan,Overseas Pakistanis and Human Resource Development]",NA-196
225,Khalil George,PML(N),"[Kashmir Affairs and Gilgit-Baltistan,Maritime Affairs]",(Minority)
226,Chaudhary Muhammad Ashraf (Chairman),PML(N),[Law and Justice],NA-161
227,Mr Ali Muhammad Khan,PTI,"[Law and Justice,Religious Affairs and Inter-faith Harmony,Science and Technology]",NA-10
228,Mr Muhammad Tallal Chaudry,PML(N),[Law and Justice],NA-76
229,Justice (Retd) Iftikhar Ahmad Cheema,PML(N),"[Law and Justice,Privatization]",NA-101
230,S.A. Iqbal Qadri,MQM,[Law and Justice],NA-241
231,Moulana Mohammad Khan Sherani,JUI-F,[Law and Justice],NA-264
232,Syed Ghulam Mustafa Shah (Chairman),PPPP,[Maritime Affairs],NA-214
233,Mr Muhammad Jamal ud Din,JUI-F,[Maritime Affairs],NA-42
234,Chaudhry Mahmood Bashir Virk,PML(N),[Maritime Affairs],NA-97
235,Ch.Tariq Bashir Cheema,PML,[Maritime Affairs],NA-187
236,Mir Amer Ali Khan Magsi,PPPP,[Maritime Affairs],NA-206
237,Aijaz Hussain Jakhrani,PPPP,"[Maritime Affairs,National Health Services, Regulations and Coordination]",NA-208
238,Lal Chand Malhi,PTI,"[Maritime Affairs,Postal Services,Religious Affairs and Inter-faith Harmony,Science and Technology,Statistics]",(Minority)
239,Shaheen Shafiq,PML(N),"[Maritime Affairs,Planning and Development,Privatization]",(Women)
240,Romina Khurshid Alam,PML(N),"[Maritime Affairs,Statistics]",(Women)
241,Khwaja Ghulam Rasool Koreja (Chairman),PPPP,[Narcotics Control],NA-192
242,Mr Qaisar Jamal,PTI,"[Narcotics Control,Planning and Development,States and Frontier Regions]",NA-47
243,Malik Shakir Bashir Awan,PML(N),[Narcotics Control],NA-70
244,Rana Umer Nazir Khan,PML(N),[Narcotics Control],NA-99
245,Chaudry Armaghan Subhani,PML(N),"[Narcotics Control,Science and Technology]",NA-111
246,Mir Munawar Ali Talpur,PPPP,"[Narcotics Control,Privatization]",NA-227
247,Sohail Mansoor Khawaja,MQM,[Narcotics Control],NA-240
248,Malik Shakir Bashir Awan (Chairman),PML(N),[National Food Security and Research],NA-70
249,Capt (R) Muhammad Safdar,PML(N),[National Food Security and Research],NA-21
250,Rao Muhammad Ajmal Khan,PML(N),"[National Food Security and Research,Water Resources]",NA-146
251,Choudhary Iftikhar Nazir,PML(N),"[National Food Security and Research,Privatization]",NA-159
252,Doctor Hafeez Ur Rehman Khan Drishak,PML(N),[National Food Security and Research],NA-175
253,Abdul Sattar Bachani,PPPP,"[National Food Security and Research,Water Resources]",NA-223
254,Pir Shafqat Hussain Shah Jilani,PPPP,[National Food Security and Research],NA-226
255,Doctor Hafeez Ur Rehman Khan Drishak (Chairman),PML(N),"[National Health Services, Regulations and Coordination]",NA-175
256,Qari Mohammad Yousif,JUI-F,"[National Health Services, Regulations and Coordination,Railways]",NA-22
257,Col. (Retd) Amirullah Marwat,PTI,"[National Health Services, Regulations and Coordination]",NA-27
258,Syed Ghazi Gulab Jamal,IND,"[National Health Services, Regulations and Coordination,Privatization,Water Resources]",NA-39
259,Dr. Muhammad Afzal Khan Dhandla,PML(N),"[National Health Services, Regulations and Coordination,Parliamentary Affairs]",NA-74
260,Dr. Nisar Ahmad Jatt,PML(N),"[National Health Services, Regulations and Coordination,Parliamentary Affairs,Railways]",NA-81
261,Dr. Azra Fazal Pechuho,PPPP,"[National Health Services, Regulations and Coordination]",NA-213
262,Shakila Luqman,PML(N),"[National Health Services, Regulations and Coordination,Overseas Pakistanis and Human Resource Development]",(Women)
263,Mir Amer Ali Khan Magsi (Chairman),PPPP,[Overseas Pakistanis and Human Resource Development],NA-206
264,Mr. Nasir Khan,IND,"[Overseas Pakistanis and Human Resource Development,States and Frontier Regions]",NA-46
265,Malik Muhammad Uzair Khan,PML(N),"[Overseas Pakistanis and Human Resource Development,Privatization]",NA-69
266,Chaudhry Muhammad Munir Azhar,PML(N),[Overseas Pakistanis and Human Resource Development],NA-163
267,Ms Shagufta Jumani,PPPP,[Overseas Pakistanis and Human Resource Development],(Women)
268,Reeta Ishwar,PML-F,[Overseas Pakistanis and Human Resource Development],(Women)
269,Dr. Shezra Mansab Ali Khan Kharal (Chairperson),PML(N),[Parliamentary Affairs],NA-137
270,Azhar Qayyum Nahra,PML(N),[Parliamentary Affairs],NA-100
271,Nadeem Abbas Rebaira,PML(N),"[Parliamentary Affairs,Planning and Development]",NA-143
272,Sardar Ashiq Hussain Gopang,PML(N),"[Parliamentary Affairs,Privatization]",NA-180
273,Mr Abdul Majeed Khan (Chairman),PML(N),[Planning and Development],NA-73
274,Syed Muhammad Athar Hussain Shah Gillani,PML(N),"[Planning and Development,Postal Services,Science and Technology]",NA-165
275,Tariq Christopher Qaiser,PML(N),"[Planning and Development,Religious Affairs and Inter-faith Harmony]",(Minority)
